FULL_step_teacher,FULL_reward_teacher,FULL_step_student,FULL_reward_student,INT_step_teacher,INT_reward_teacher,INT_step_student,INT_reward_student,EXT_step_teacher,EXT_reward_teacher,EXT_step_student,EXT_reward_student
43,-588.81884765625,43,-602.8929443359375,43,-842.4210815429688,43,-807.4154663085938,43,-889.4142456054688,43,-770.818359375
44,-534.494384765625,44,-670.0643920898438,44,-685.0516967773438,44,-824.199462890625,44,-735.6331787109375,44,-768.431396484375
45,-491.27960205078125,45,-459.30035400390625,45,-820.85791015625,45,-740.1353149414062,45,-738.74365234375,45,-722.7743530273438
46,-504.9614562988281,46,-516.1314086914062,46,-730.0344848632812,46,-689.8837890625,46,-778.4155883789062,46,-625.8897094726562
47,-478.159423828125,47,-474.5958557128906,47,-670.0413208007812,47,-654.3236694335938,47,-750.5403442382812,47,-727.7659912109375
48,-496.69158935546875,48,-468.779296875,48,-614.9569702148438,48,-572.8571166992188,48,-721.5506591796875,48,-677.1873168945312
49,-448.7770080566406,49,-441.9748840332031,49,-558.3961791992188,49,-646.6340942382812,49,-738.3634033203125,49,-578.1965942382812
50,-450.86883544921875,50,-464.6558532714844,50,-608.3525390625,50,-686.885498046875,50,-603.3845825195312,50,-648.4932861328125
51,-381.82891845703125,51,-425.23870849609375,51,-639.3936767578125,51,-719.9190673828125,51,-646.0398559570312,51,-658.8377075195312
52,-368.2364196777344,52,-409.5632019042969,52,-491.7076721191406,52,-660.1160278320312,52,-635.9575805664062,52,-640.6377563476562
53,-391.5688171386719,53,-411.8870544433594,53,-698.1860961914062,53,-634.1499633789062,53,-604.8997802734375,53,-561.1465454101562
54,-346.4757385253906,54,-402.8611145019531,54,-561.1638793945312,54,-625.8641967773438,54,-572.5497436523438,54,-571.5696411132812
55,-342.8092956542969,55,-377.02545166015625,55,-522.0285034179688,55,-623.7277221679688,55,-574.5640869140625,55,-518.8780517578125
56,-309.7394104003906,56,-347.44476318359375,56,-533.0316772460938,56,-613.1399536132812,56,-552.81396484375,56,-489.8818664550781
57,-333.4595642089844,57,-371.2378234863281,57,-490.5880126953125,57,-608.7752685546875,57,-551.2288208007812,57,-446.15155029296875
58,-281.15240478515625,58,-376.0950012207031,58,-486.5039978027344,58,-578.2510375976562,58,-548.4110107421875,58,-452.4932861328125
59,-322.113037109375,59,-327.21734619140625,59,-559.216552734375,59,-562.1983642578125,59,-456.1573181152344,59,-428.1650085449219
60,-290.5957946777344,60,-338.4300842285156,60,-466.9660949707031,60,-481.7760009765625,60,-450.705810546875,60,-381.60443115234375
61,-315.72235107421875,61,-313.8629150390625,61,-473.8098449707031,61,-492.77081298828125,61,-390.7096862792969,61,-418.4671630859375
62,-342.8592529296875,62,-261.1952819824219,62,-426.11651611328125,62,-484.3956298828125,62,-485.9886779785156,62,-415.829345703125
63,-351.4649963378906,63,-289.91448974609375,63,-417.7406005859375,63,-415.22222900390625,63,-405.0309753417969,63,-369.14300537109375
64,-261.7148132324219,64,-276.66241455078125,64,-463.6009826660156,64,-362.6287536621094,64,-356.16796875,64,-350.79376220703125
65,-235.13768005371094,65,-290.4654235839844,65,-367.6755676269531,65,-372.62548828125,65,-374.540283203125,65,-411.2570495605469
