sim,method,priv_mode,latent_dim,dr_scale,episode_length_s,mean_reward,std_reward,mean_length,std_length,success_rate,partial_rate,fall_rate,survival_rate,mean_lin_track,std_lin_track,mean_ang_track,std_ang_track,mean_track_err,std_track_err,mean_fwd_disp,std_fwd_disp,gait_adh,gait_adh_std,clear_err,clear_err_std,slip_rate,slip_rate_std,smoothness,smoothness_std,base_z_var,base_z_var_std,contact_sym,contact_sym_std,stride_var,stride_var_std,jtorque_var,jtorque_var_std,episodes,checkpoint,timestamp
mujoco,BASELINE,BASE,N/A,1.0,10.0,712.7207,75.4997,500.0,0.0,86.7,13.3,0.0,100.0,0.8374,0.1655,0.9441,0.0234,0.1805,0.1179,3.4451,1.2795,0.348174,0.086942,0.000749,0.000287,1.078888,0.104721,0.529850,0.198750,0.000013,0.000007,0.165867,0.087839,0.001750,0.001299,11.430536,3.474353,30,model_final.pt,2026-05-11 17:50:59
mujoco,CTS,FULL,8,1.0,10.0,503.4404,92.3338,500.0,0.0,100.0,0.0,0.0,100.0,0.8793,0.0403,0.9317,0.0454,0.1631,0.0313,4.2779,0.7289,0.204764,0.039001,0.001168,0.000179,1.638642,0.180417,1.377418,0.162849,0.000335,0.000120,0.076000,0.042319,0.002236,0.001655,18.739381,3.534212,30,model_final.pt,2026-05-11 17:51:37
mujoco,RMA,FULL,8,1.0,10.0,374.6637,68.2887,500.0,0.0,86.7,13.3,0.0,100.0,0.7891,0.0932,0.9463,0.0244,0.2237,0.0659,3.2568,0.9692,0.181490,0.013909,0.000975,0.000297,1.494874,0.187280,2.063293,0.390623,0.000588,0.000220,0.042800,0.023842,0.002555,0.002139,16.879883,2.030850,30,model_final.pt,2026-05-11 17:51:54
mujoco,BASELINE,BASE,N/A,2.0,10.0,635.0305,106.7752,500.0,0.0,66.7,33.3,0.0,100.0,0.7400,0.2064,0.9481,0.0315,0.2529,0.1422,2.7842,1.6289,0.294184,0.108032,0.000611,0.000426,1.153498,0.243658,0.521246,0.298327,0.000017,0.000010,0.118400,0.094101,0.007600,0.019746,10.501369,5.295050,30,model_final.pt,2026-05-11 17:52:09
mujoco,CTS,FULL,8,2.0,10.0,451.5175,137.4588,500.0,0.0,90.0,10.0,0.0,100.0,0.8238,0.0869,0.9190,0.0451,0.2019,0.0643,3.7715,1.1974,0.203807,0.042005,0.001159,0.000504,1.524452,0.408256,1.352918,0.237564,0.000362,0.000264,0.072067,0.047787,0.002873,0.001920,18.827837,5.825767,30,model_final.pt,2026-05-11 17:52:48
mujoco,RMA,FULL,8,2.0,10.0,294.8001,110.5605,500.0,0.0,43.3,56.7,0.0,100.0,0.6505,0.1703,0.9149,0.0573,0.3203,0.1157,2.2311,1.5767,0.185993,0.032893,0.000783,0.000605,1.364128,0.337808,2.296204,1.521408,0.000461,0.000449,0.042667,0.044222,0.005165,0.011375,15.029233,5.965352,30,model_final.pt,2026-05-11 17:53:04
