method,priv_mode,latent_dim,dr_scale,mean_reward,std_reward,mean_length,std_length,success_rate,episodes,checkpoint,timestamp
CTS,FULL,8,1.0,803.3081,143.2701,999.0,0.0,100.0,100,model_final.pt,2026-04-28 01:41:18
CTS,FULL,8,1.5,787.4854,151.0811,999.0,0.0,100.0,100,model_final.pt,2026-04-28 01:42:25
CTS,FULL,8,2.0,753.3654,110.9466,999.0,0.0,100.0,100,model_final.pt,2026-04-28 01:43:34
CTS,INT,8,1.0,1096.9201,108.8252,999.0,0.0,100.0,100,model_final.pt,2026-04-28 01:44:44
CTS,INT,8,1.5,1065.9618,89.7820,999.0,0.0,100.0,100,model_final.pt,2026-04-28 01:45:54
CTS,INT,8,2.0,1052.8890,226.5943,999.0,0.0,100.0,100,model_final.pt,2026-04-28 01:47:04
CTS,EXT,8,1.0,754.6540,164.9184,999.0,0.0,100.0,100,model_final.pt,2026-04-28 01:48:12
CTS,EXT,8,1.5,752.7078,174.8233,999.0,0.0,100.0,100,model_final.pt,2026-04-28 01:49:20
CTS,EXT,8,2.0,727.2933,157.8944,999.0,0.0,100.0,100,model_final.pt,2026-04-28 01:50:29
